# Ramp Start Table					
# SUNNY	CLOUDY	RAINY,	FOGGY		
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		# Midnight
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  1am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  2am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  3am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  4am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  5am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  6am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  7am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  8am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  9am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		# 10am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		# 11am
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		# Midday
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  1pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  2pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  3pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  4pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  5pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  6pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  7pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  8pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		#  9pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		# 10pm
60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100	60, 55, 53, 100		# 11pm
# Ramp End Table					
# SUNNY	CLOUDY	RAINY,	FOGGY		
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		# Midnight
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  1am
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  2am
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  3am
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  4am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  5am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  6am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  7am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  8am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  9am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		# 10am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		# 11am
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		# Midday
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  1pm
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  2pm
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  3pm
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  4pm
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  5pm
255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100	255, 230, 224, 100		#  6pm
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  7pm
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  8pm
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		#  9pm
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		# 10pm
190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100	190, 171, 167, 100		# 11pm
# Offset Table					
# SUNNY	CLOUDY	RAINY,	FOGGY		
0	0	0	0		# Midnight
0	0	0	0		#  1am
0	0	0	0		#  2am
0	0	0	0		#  3am
0	0	0	0		#  4am
0	0	0	0		#  5am
0	0	0	0		#  6am
0	0	0	0		#  7am
0	0	0	0		#  8am
0	0	0	0		#  9am
0	0	0	0		# 10am
0	0	0	0		# 11am
0	0	0	0		# Midday
0	0	0	0		#  1pm
0	0	0	0		#  2pm
0	0	0	0		#  3pm
0	0	0	0		#  4pm
0	0	0	0		#  5pm
0	0	0	0		#  6pm
0	0	0	0		#  7pm
0	0	0	0		#  8pm
0	0	0	0		#  9pm
0	0	0	0		# 10pm
0	0	0	0		# 11pm
# Scale Table					
# SUNNY	CLOUDY	RAINY,	FOGGY		
1.5	1.5	1.0	1.0		# Midnight
1.5	1.5	1.0	1.0		#  1am
1.5	1.5	1.0	1.0		#  2am
1.5	1.5	1.5	1.5		#  3am
2.0	2.0	2.0	2.0		#  4am
2.0	2.0	2.0	2.0		#  5am
2.0	2.0	2.0	2.0		#  6am
2.5	2.5	2.0	2.0		#  7am
2.5	2.5	2.0	2.0		#  8am
2.5	2.5	2.0	2.0		#  9am
2.5	2.5	2.0	2.0		# 10am
2.5	2.5	2.0	2.0		# 11am
2.5	2.5	2.0	2.0		# Midday
2.5	2.5	2.0	2.0		#  1pm
2.5	2.5	2.0	2.0		#  2pm
2.5	2.5	2.0	2.0		#  3pm
2.5	2.5	2.0	2.0		#  4pm
2.0	2.0	2.0	2.0		#  5pm
2.0	2.0	2.0	2.0		#  6pm
2.0	2.0	2.0	2.0		#  7pm
1.5	1.5	1.5	1.5		#  8pm
1.5	1.5	1.0	1.0		#  9pm
1.5	1.5	1.0	1.0		# 10pm
1.5	1.5	1.0	1.0		# 11pm
# Scaling Table					
# SUNNY	CLOUDY	RAINY,	FOGGY		
0.2	0.2	0.1	0.1		# Midnight
0.2	0.2	0.1	0.1		#  1am
0.7	0.7	0.2	0.2		#  6am
0.7	0.7	0.2	0.2		#  3am
0.7	0.7	0.2	0.2		#  4am
2.0	2.0	0.3	0.3		#  5am
3.0	3.0	0.3	0.3		#  6am
4.0	4.0	0.3	0.3		#  7am
5.0	5.0	0.3	0.3		#  8am
6.0	6.0	1.3	1.3		#  9am
6.0	6.0	2.0	2.0		# 10am
6.0	6.0	2.0	2.0		# 11am
6.0	6.0	2.0	2.0		# Midday
6.0	6.0	2.0	2.0		#  1pm
6.0	6.0	1.3	1.3		#  6pm
5.0	5.0	0.3	0.3		#  3pm
4.0	4.0	0.3	0.3		#  4pm
3.0	3.0	0.3	0.3		#  5pm
2.0	2.0	0.3	0.3		#  6pm
0.7	0.7	0.2	0.2		#  7pm
0.7	0.7	0.2	0.2		#  8pm
0.7	0.7	0.2	0.2		#  9pm
0.2	0.2	0.1	0.1		# 10pm
0.2	0.2	0.1	0.1		# 11pm
