Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2018-01-02-CIKit.md,2018,01,02,CIKit,takedown,2
2018-01-02-RhythmTool.md,2018,01,02,RhythmTool,takedown,1
2018-01-02-Webkul.md,2018,01,02,Webkul,takedown,7
2018-01-03-AWS-CounterNotice.md,2018,01,03,AWS-CounterNotice,counternotice,2
2018-01-03-CIKit-CounterNotice.md,2018,01,03,CIKit-CounterNotice,counternotice,6
2018-01-03-Odoo.md,2018,01,03,Odoo,takedown,37
2018-01-03-Pearson.md,2018,01,03,Pearson,takedown,1
2018-01-03-Penguin.md,2018,01,03,Penguin,takedown,1
2018-01-03-Webkul-2.md,2018,01,03,Webkul-2,takedown,1
2018-01-03-Webkul-3.md,2018,01,03,Webkul-3,takedown,1
2018-01-03-Webkul.md,2018,01,03,Webkul,takedown,1
2018-01-03-portfolio.md,2018,01,03,portfolio,takedown,1
2018-01-04-Adobe.md,2018,01,04,Adobe,takedown,2
2018-01-04-NewsIsAP.md,2018,01,04,NewsIsAP,takedown,1
2018-01-04-ZenHub.md,2018,01,04,ZenHub,takedown,2
2018-01-05-Atlassian.md,2018,01,05,Atlassian,takedown,1
2018-01-05-ElementsOfProgramming.md,2018,01,05,ElementsOfProgramming,takedown,1
2018-01-05-Odoo.md,2018,01,05,Odoo,takedown,7
2018-01-05-trov.md,2018,01,05,trov,takedown,1
2018-01-08-Attributor.md,2018,01,08,Attributor,takedown,7
2018-01-08-BlackDesert.md,2018,01,08,BlackDesert,takedown,1
2018-01-08-FHAdmin.md,2018,01,08,FHAdmin,takedown,14
2018-01-08-PSFotodesign.md,2018,01,08,PSFotodesign,takedown,1
2018-01-08-hire-me.md,2018,01,08,hire-me,takedown,1
2018-01-09-Adobe.md,2018,01,09,Adobe,takedown,1
2018-01-09-Microsurance.md,2018,01,09,Microsurance,takedown,1
2018-01-09-OffensiveSecurity.md,2018,01,09,OffensiveSecurity,takedown,449
2018-01-09-VerAvanti.md,2018,01,09,VerAvanti,takedown,1
2018-01-09-Visual-Navigation.md,2018,01,09,Visual-Navigation,takedown,1
2018-01-09-Webkul-1.md,2018,01,09,Webkul-1,takedown,1
2018-01-09-Webkul-2.md,2018,01,09,Webkul-2,takedown,1
2018-01-09-Webkul-3.md,2018,01,09,Webkul-3,takedown,1
2018-01-10-Deezer.md,2018,01,10,Deezer,takedown,1
2018-01-10-Forcepoint.md,2018,01,10,Forcepoint,takedown,1
2018-01-10-NovaLauncherPrime.md,2018,01,10,NovaLauncherPrime,takedown,1
2018-01-10-SenseTime.md,2018,01,10,SenseTime,takedown,80
2018-01-10-XiaochengSelection.md,2018,01,10,XiaochengSelection,takedown,2
2018-01-11-BlackDesert.md,2018,01,11,BlackDesert,takedown,1
2018-01-11-FH-Admin.md,2018,01,11,FH-Admin,takedown,3
2018-01-11-FedEx.md,2018,01,11,FedEx,takedown,3
2018-01-11-ILibrius.md,2018,01,11,ILibrius,takedown,1
2018-01-11-LawMap.md,2018,01,11,LawMap,takedown,3
2018-01-11-Macmillan.md,2018,01,11,Macmillan,takedown,1
2018-01-11-Nexon.md,2018,01,11,Nexon,takedown,1
2018-01-11-Odoo-2.md,2018,01,11,Odoo-2,takedown,3
2018-01-11-Odoo.md,2018,01,11,Odoo,takedown,1
2018-01-11-OffensiveSecurity.md,2018,01,11,OffensiveSecurity,takedown,1
2018-01-11-SharkMining.md,2018,01,11,SharkMining,takedown,1
2018-01-11-XCResellerPanel.md,2018,01,11,XCResellerPanel,takedown,1
2018-01-11-flake8.md,2018,01,11,flake8,takedown,2
2018-01-12-Deezer.md,2018,01,12,Deezer,takedown,31
2018-01-12-lab.md,2018,01,12,lab,takedown,1
2018-01-15-Falabella.md,2018,01,15,Falabella,takedown,1
2018-01-16-CasaDoCodigo.md,2018,01,16,CasaDoCodigo,takedown,1
2018-01-16-Comcast-2.md,2018,01,16,Comcast-2,takedown,1
2018-01-16-Comcast-3.md,2018,01,16,Comcast-3,takedown,1
2018-01-16-Comcast-4.md,2018,01,16,Comcast-4,takedown,1
2018-01-16-Comcast-5.md,2018,01,16,Comcast-5,takedown,1
2018-01-16-Comcast-6.md,2018,01,16,Comcast-6,takedown,1
2018-01-16-Comcast.md,2018,01,16,Comcast,takedown,1
2018-01-16-Exodus.md,2018,01,16,Exodus,takedown,1
2018-01-16-ReportMyDr.md,2018,01,16,ReportMyDr,takedown,1
2018-01-16-TestDome.md,2018,01,16,TestDome,takedown,1
2018-01-16-Webkul-2.md,2018,01,16,Webkul-2,takedown,1
2018-01-16-Webkul-4.md,2018,01,16,Webkul-4,takedown,1
2018-01-16-Webkul-5.md,2018,01,16,Webkul-5,takedown,1
2018-01-16-Webkul.md,2018,01,16,Webkul,takedown,1
2018-01-16-XCResellerPanel.md,2018,01,16,XCResellerPanel,takedown,1
2018-01-16-pmmp-plugins.md,2018,01,16,pmmp-plugins,takedown,2
2018-01-17-AWS-CounterNotice-Retraction.md,2018,01,17,AWS-CounterNotice-Retraction,counternotice-retraction,1
2018-01-17-ReedElsevier.md,2018,01,17,ReedElsevier,takedown,1
2018-01-17-StereoArts-2.md,2018,01,17,StereoArts-2,takedown,1
2018-01-17-StereoArts-3.md,2018,01,17,StereoArts-3,takedown,1
2018-01-17-StereoArts-4.md,2018,01,17,StereoArts-4,takedown,1
2018-01-17-StereoArts-5.md,2018,01,17,StereoArts-5,takedown,1
2018-01-17-StereoArts-6.md,2018,01,17,StereoArts-6,takedown,1
2018-01-17-StereoArts.md,2018,01,17,StereoArts,takedown,1
2018-01-18-BundesagenturFuerArbeit.md,2018,01,18,BundesagenturFuerArbeit,takedown,1
2018-01-18-CasaDoCodigo.md,2018,01,18,CasaDoCodigo,takedown,2
2018-01-18-EpicGames.md,2018,01,18,EpicGames,takedown,141
2018-01-18-MetaQuotes.md,2018,01,18,MetaQuotes,takedown,4
2018-01-18-MinSooKy.md,2018,01,18,MinSooKy,takedown,1
2018-01-18-NihonAdSystems-2.md,2018,01,18,NihonAdSystems-2,takedown,1
2018-01-18-NihonAdSystems.md,2018,01,18,NihonAdSystems,takedown,1
2018-01-18-Pearson.md,2018,01,18,Pearson,takedown,1
2018-01-18-PixelWorld.md,2018,01,18,PixelWorld,takedown,1
2018-01-18-PlumFlowerInternational.md,2018,01,18,PlumFlowerInternational,takedown,2
2018-01-18-SageTechnologies.md,2018,01,18,SageTechnologies,takedown,1
2018-01-18-Teamspeak.md,2018,01,18,Teamspeak,takedown,1
2018-01-18-Webkul-2.md,2018,01,18,Webkul-2,takedown,1
2018-01-18-Webkul.md,2018,01,18,Webkul,takedown,1
2018-01-19-Jetbrains.md,2018,01,19,Jetbrains,takedown,43
2018-01-19-SageTechnologies-CounterNotice.md,2018,01,19,SageTechnologies-CounterNotice,counternotice,1
2018-01-22-Comcast-2.md,2018,01,22,Comcast-2,takedown,1
2018-01-22-Comcast-3.md,2018,01,22,Comcast-3,takedown,1
2018-01-22-Comcast-4.md,2018,01,22,Comcast-4,takedown,1
2018-01-22-Comcast-5.md,2018,01,22,Comcast-5,takedown,1
2018-01-22-Comcast-6.md,2018,01,22,Comcast-6,takedown,1
2018-01-22-Comcast-7.md,2018,01,22,Comcast-7,takedown,1
2018-01-22-Comcast.md,2018,01,22,Comcast,takedown,1
2018-01-22-FlightDeck.md,2018,01,22,FlightDeck,takedown,2
2018-01-22-Macosty.md,2018,01,22,Macosty,takedown,2
2018-01-22-Mobiscroll.md,2018,01,22,Mobiscroll,takedown,15
2018-01-22-Nihon.md,2018,01,22,Nihon,takedown,1
2018-01-22-StereoArts.md,2018,01,22,StereoArts,takedown,1
2018-01-22-Tinder.md,2018,01,22,Tinder,takedown,1
2018-01-22-tmobile.md,2018,01,22,tmobile,takedown,2
2018-01-23-Comcast-2.md,2018,01,23,Comcast-2,takedown,1
2018-01-23-Comcast-3.md,2018,01,23,Comcast-3,takedown,1
2018-01-23-Comcast-4.md,2018,01,23,Comcast-4,takedown,1
2018-01-23-Comcast.md,2018,01,23,Comcast,takedown,1
2018-01-23-Deezer.md,2018,01,23,Deezer,takedown,1
2018-01-23-Golf.md,2018,01,23,Golf,takedown,1
2018-01-23-JarCraftinator.md,2018,01,23,JarCraftinator,takedown,2
2018-01-23-Odoo.md,2018,01,23,Odoo,takedown,4
2018-01-23-RBOY-2.md,2018,01,23,RBOY-2,takedown,1
2018-01-23-RBOY.md,2018,01,23,RBOY,takedown,5
2018-01-23-SimplePush.md,2018,01,23,SimplePush,takedown,1
2018-01-23-TD.md,2018,01,23,TD,takedown,1
2018-01-24-Anticheat-2.md,2018,01,24,Anticheat-2,takedown,1
2018-01-24-Anticheat.md,2018,01,24,Anticheat,takedown,2
2018-01-24-Comcast-2.md,2018,01,24,Comcast-2,takedown,1
2018-01-24-Comcast-3.md,2018,01,24,Comcast-3,takedown,2
2018-01-24-Comcast.md,2018,01,24,Comcast,takedown,2
2018-01-24-KMG.md,2018,01,24,KMG,takedown,2
2018-01-24-SharkMining.md,2018,01,24,SharkMining,takedown,1
2018-01-24-VerticalMedical.md,2018,01,24,VerticalMedical,takedown,192
2018-01-24-school-work.md,2018,01,24,school-work,takedown,1
2018-01-25-GameTeam.md,2018,01,25,GameTeam,takedown,2
2018-01-25-IFPI.md,2018,01,25,IFPI,takedown,1
2018-01-25-Match.md,2018,01,25,Match,takedown,1
2018-01-25-Monero.md,2018,01,25,Monero,takedown,6
2018-01-25-WoW.md,2018,01,25,WoW,takedown,1
2018-01-26-IDEScout.md,2018,01,26,IDEScout,takedown,66
2018-01-26-OSNEXUS.md,2018,01,26,OSNEXUS,takedown,1
2018-01-29-Armakoth.md,2018,01,29,Armakoth,takedown,1
2018-01-29-Codility.md,2018,01,29,Codility,takedown,1
2018-01-29-GameTeam.md,2018,01,29,GameTeam,takedown,1
2018-01-29-IDEScout.md,2018,01,29,IDEScout,takedown,1
2018-01-29-Monero.md,2018,01,29,Monero,takedown,4
2018-01-29-NihonAdSystems-2.md,2018,01,29,NihonAdSystems-2,takedown,1
2018-01-29-NihonAdSystems-3.md,2018,01,29,NihonAdSystems-3,takedown,1
2018-01-29-NihonAdSystems-4.md,2018,01,29,NihonAdSystems-4,takedown,1
2018-01-29-NihonAdSystems.md,2018,01,29,NihonAdSystems,takedown,1
2018-01-29-SiliconLabs.md,2018,01,29,SiliconLabs,takedown,1
2018-01-29-Toontown-Relived.md,2018,01,29,Toontown-Relived,takedown,1
2018-01-30-FHAdmin.md,2018,01,30,FHAdmin,takedown,3
2018-01-30-IDEscout.md,2018,01,30,IDEscout,takedown,67
2018-01-30-Knoxss.md,2018,01,30,Knoxss,takedown,1
2018-01-30-MStar.md,2018,01,30,MStar,takedown,1
2018-01-30-MetaQuotes.md,2018,01,30,MetaQuotes,takedown,8
2018-01-30-SoccerStreams.md,2018,01,30,SoccerStreams,takedown,3
2018-01-30-profit-trailer.md,2018,01,30,profit-trailer,takedown,2
2018-01-31-Armakoth.md,2018,01,31,Armakoth,takedown,2
2018-01-31-GMod.md,2018,01,31,GMod,takedown,1
2018-01-31-Jetbrains.md,2018,01,31,Jetbrains,takedown,87
2018-01-31-Offensive-Security.md,2018,01,31,Offensive-Security,takedown,13
2018-02-01-Armakoth.md,2018,02,01,Armakoth,takedown,1
2018-02-01-Broadcom.md,2018,02,01,Broadcom,takedown,7
2018-02-01-NihonAdSystems-2.md,2018,02,01,NihonAdSystems-2,takedown,1
2018-02-01-NihonAdSystems.md,2018,02,01,NihonAdSystems,takedown,1
2018-02-01-Pearson.md,2018,02,01,Pearson,takedown,1
