Filename,Year,Month,Date,Description,Type of Notice,Nr. of Repos Affected,Mass Removal,Frequent
2016-01-01-PragmaticProgrammers.md,2016,1,1,PragmaticProgrammers.md,Takedown,1,,Y
2016-01-04-247Mixtape.md,2016,1,4,247Mixtape.md,Takedown,1,,
2016-01-04-DiscordClientModding-counternotice.md,2016,1,4,DiscordClientModding-counternotice.md,Counter Notice,1,,
2016-01-04-PragmaticProgrammers.md,2016,1,4,PragmaticProgrammers.md,Takedown,38,,Y
2016-01-04-Qualcomm.md,2016,1,4,Qualcomm.md,Takedown,3,,Y
2016-01-04-SHOPXX.md,2016,1,4,SHOPXX.md,Takedown,5,,
2016-01-05-AmigaROM.md,2016,1,5,AmigaROM.md,Takedown,3,,
2016-01-05-Qualcomm.md,2016,1,5,Qualcomm.md,Takedown,1,,Y
2016-01-07-Adobe.md,2016,1,7,Adobe.md,Takedown,3,,Y
2016-01-07-DiscordClientModding.md,2016,1,7,DiscordClientModding.md,Takedown,1,,
2016-01-07-Stereoarts.md,2016,1,7,Stereoarts.md,Takedown,1,,Y
2016-01-08-InstavisitsInc.md,2016,1,8,InstavisitsInc.md,Takedown,1,,
2016-01-11-Qualcomm-1.md,2016,1,11,Qualcomm-1.md,Takedown,1,,Y
2016-01-11-Qualcomm-2.md,2016,1,11,Qualcomm-2.md,Takedown,1,,Y
2016-01-12-AAMC.md,2016,1,12,AAMC.md,Takedown,1,,
2016-01-12-SiteCompli-2.md,2016,1,12,SiteCompli-2.md,Takedown,1,,
2016-01-12-SiteCompli.md,2016,1,12,SiteCompli.md,Takedown,1,,
2016-01-12-VideoKit.md,2016,1,12,VideoKit.md,Takedown,1,,
2016-01-13-Codility.md,2016,1,13,Codility.md,Takedown,1,,Y
2016-01-15-AlgoTrader.md,2016,1,15,AlgoTrader.md,Takedown,8,,
2016-01-18-Asurion.md,2016,1,18,Asurion.md,Takedown,1,,
2016-01-18-Wiimmfi.md,2016,1,18,Wiimmfi.md,Takedown,2,,
2016-01-19-Haodaifu.md,2016,1,19,Haodaifu.md,Takedown,2,,
2016-01-19-Scales.md,2016,1,19,Scales.md,Takedown,1,,
2016-01-20-AlgoTrader.md,2016,1,20,AlgoTrader.md,Takedown,49,,
2016-01-20-Nokia.md,2016,1,20,Nokia.md,Takedown,1,,
2016-01-20-Refundo.md,2016,1,20,Refundo.md,Takedown,1,,
2016-01-20-Scales-Retraction.md,2016,1,20,Scales-Retraction.md,Retraction,1,,
2016-01-21-AlgoTrader-CounterNotice.md,2016,1,21,AlgoTrader-CounterNotice.md,Counter Notice,1,,
2016-01-21-Satander.md,2016,1,21,Satander.md,Takedown,1,,
2016-01-25-Codility.md,2016,1,25,Codility.md,Takedown,1,,Y
2016-01-25-MathWorks.md,2016,1,25,MathWorks.md,Takedown,1,,
2016-01-25-Stratatech.md,2016,1,25,Stratatech.md,Takedown,1,,
2016-01-25-TuringEmail.md,2016,1,25,TuringEmail.md,Takedown,1,,
2016-01-26-apt-cyg.md,2016,1,26,apt-cyg.md,Takedown,1,,
2016-01-26-Jetbrains-CounterNotice.md,2016,1,26,Jetbrains-CounterNotice.md,Counter Notice,1,â€“,
2016-01-26-Pachamaltese.md,2016,1,26,Pachamaltese.md,Takedown,2,,
2016-01-26-tvtokyo.md,2016,1,26,tvtokyo.md,Takedown,1,,
2016-01-27-apt-cyg-counternotice.md,2016,1,27,apt-cyg-counternotice.md,Counter Notice,1,,
2016-02-01-FLVS-2.md,2016,2,1,FLVS-2.md,Takedown,1,,
2016-02-01-FLVS-3.md,2016,2,1,FLVS-3.md,Takedown,1,,
2016-02-01-FLVS.md,2016,2,1,FLVS.md,Takedown,2,,
2016-02-02-Compass.md,2016,2,2,Compass.md,Takedown,2,,
2016-02-02-Lazada.md,2016,2,2,Lazada.md,Takedown,5,,
2016-02-02-QUALCOMM.md,2016,2,2,QUALCOMM.md,Takedown,1,,Y
2016-02-03-TheGoProgrammingLanguage.md,2016,2,3,TheGoProgrammingLanguage.md,Takedown,1,,
2016-02-04-Reflector.md,2016,2,4,Reflector.md,Takedown,1,,
2016-02-04-Wahoo-2.md,2016,2,4,Wahoo-2.md,Takedown,5,,
2016-02-04-Wahoo.md,2016,2,4,Wahoo.md,,Duplicate,,
2016-02-05-Baidu-2.md,2016,2,5,Baidu-2.md,Takedown,11,,
2016-02-05-Baidu.md,2016,2,5,Baidu.md,Takedown,0,,
2016-02-05-dRonin-2.md,2016,2,5,dRonin-2.md,Takedown,1,,
2016-02-05-dRonin.md,2016,2,5,dRonin.md,Takedown,1,,
2016-02-09-Evadeee.md,2016,2,9,Evadeee.md,Takedown,1,,
2016-02-09-RakutenShowTime.md,2016,2,9,RakutenShowTime.md,Takedown,3,,
2016-02-09-Wahoo.md,2016,2,9,Wahoo.md,Takedown,75,,
2016-02-11-Wahoo-counternotice.md,2016,2,11,Wahoo-counternotice.md,Counter Notice,1,,
2016-02-12-JNcaricature.md,2016,2,12,JNcaricature.md,Takedown,1,,
2016-02-12-Qualcomm.md,2016,2,12,Qualcomm.md,Takedown,1,,Y
2016-02-12-UgMO.md,2016,2,12,UgMO.md,Takedown,1,,
2016-02-15-leaguepals.md,2016,2,15,leaguepals.md,Takedown,1,,
2016-02-16-Ethnologue.md,2016,2,16,Ethnologue.md,Takedown,1,,
2016-02-16-Industree.md,2016,2,16,Industree.md,Takedown,1,,
2016-02-16-Qualcomm.md,2016,2,16,Qualcomm.md,Takedown,1,,Y
2016-02-16-Stereoarts.md,2016,2,16,Stereoarts.md,Takedown,1,,Y
2016-02-16-UCB.md,2016,2,16,UCB.md,Takedown,1,,
2016-02-17-Chisel.md,2016,2,17,Chisel.md,Takedown,1,,
2016-02-17-Elobuddy.md,2016,2,17,Elobuddy.md,Takedown,17,,
2016-02-17-NextIT.md,2016,2,17,NextIT.md,Takedown,1,,
2016-02-17-OffensiveSecurity.md,2016,2,17,OffensiveSecurity.md,Takedown,26,,Y
2016-02-18-Chisel-Counternotice.md,2016,2,18,Chisel-Counternotice.md,Counter Notice,1,,
2016-02-18-Codility.md,2016,2,18,Codility.md,Takedown,5,,Y
2016-02-18-dRonin-counternotice.md,2016,2,18,dRonin-counternotice.md,Counter Notice,1,,
2016-02-18-Wahoo-counternotice.md,2016,2,18,Wahoo-counternotice.md,Counter Notice,1,,
2016-02-19-Ogar.md,2016,2,19,Ogar.md,Takedown,14,,
2016-02-19-UgMO.md,2016,2,19,UgMO.md,Takedown,2,,
2016-02-22-StackOverflow.md,2016,2,22,StackOverflow.md,Takedown,1,,
2016-02-23-EyeEm.md,2016,2,23,EyeEm.md,Takedown,1,,
2016-02-23-JLS.md,2016,2,23,JLS.md,Takedown,1,,
