Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2020-01-02-AtomicSpinMagnetizationDynamics.md,2020,01,02,AtomicSpinMagnetizationDynamics.md,takedown,1
2020-01-02-CSCI402_USC.md,2020,01,02,CSCI402_USC.md,takedown,2
2020-01-02-Cignium.md,2020,01,02,Cignium.md,takedown,1
2020-01-02-ControlWorks.md,2020,01,02,ControlWorks.md,takedown,10
2020-01-02-ECE568.md,2020,01,02,ECE568.md,takedown,38
2020-01-02-Garrysmod.md,2020,01,02,Garrysmod.md,takedown,1
2020-01-02-Packt.md,2020,01,02,Packt.md,takedown,19
2020-01-02-gtv3.md,2020,01,02,gtv3.md,takedown,1
2020-01-02-liquidbounce.md,2020,01,02,liquidbounce.md,takedown,1
2020-01-02-magnamedia.md,2020,01,02,magnamedia.md,takedown,2
2020-01-02-packt-2.md,2020,01,02,packt-2.md,takedown,19
2020-01-02-packt-3.md,2020,01,02,packt-3.md,takedown,10
2020-01-02-pearson.md,2020,01,02,pearson.md,takedown,2
2020-01-02-renren.md,2020,01,02,renren.md,takedown,11
2020-01-02-sensetime-2.md,2020,01,02,sensetime-2.md,takedown,2
2020-01-02-sensetime-3.md,2020,01,02,sensetime-3.md,takedown,2
2020-01-02-sensetime-4.md,2020,01,02,sensetime-4.md,takedown,2
2020-01-02-sensetime.md,2020,01,02,sensetime.md,takedown,15
2020-01-06-ECE568-counternotice.md,2020,01,06,ECE568-counternotice.md,counternotice,1
2020-01-06-IBM.md,2020,01,06,IBM.md,takedown,1
2020-01-06-gtv3-counternotice.md,2020,01,06,gtv3-counternotice.md,counternotice,2
2020-01-06-manning.md,2020,01,06,manning.md,takedown,1
2020-01-06-packt-2.md,2020,01,06,packt-2.md,takedown,1
2020-01-06-packt-3.md,2020,01,06,packt-3.md,takedown,22
2020-01-06-packt.md,2020,01,06,packt.md,takedown,30
2020-01-06-pearson-2.md,2020,01,06,pearson-2.md,takedown,2
2020-01-06-pearson-3.md,2020,01,06,pearson-3.md,takedown,1
2020-01-06-pearson-4.md,2020,01,06,pearson-4.md,takedown,49
2020-01-06-pearson-5.md,2020,01,06,pearson-5.md,takedown,1
2020-01-06-pearson-6.md,2020,01,06,pearson-6.md,takedown,1
2020-01-06-pearson-7.md,2020,01,06,pearson-7.md,takedown,1
2020-01-06-pearson.md,2020,01,06,pearson.md,takedown,1
2020-01-06-rails.md,2020,01,06,rails.md,takedown,1
2020-01-07-TISTA.md,2020,01,07,TISTA.md,takedown,2
2020-01-07-cholams.md,2020,01,07,cholams.md,takedown,2
2020-01-07-cosential.md,2020,01,07,cosential.md,takedown,2
2020-01-07-sensetime.md,2020,01,07,sensetime.md,takedown,41
2020-01-08-505-Games.md,2020,01,08,505-Games.md,takedown,1
2020-01-08-Dagbladet.md,2020,01,08,Dagbladet.md,takedown,1
2020-01-08-FTP.md,2020,01,08,FTP.md,takedown,1
2020-01-08-Serveur.md,2020,01,08,Serveur.md,takedown,1
2020-01-08-wurm.md,2020,01,08,wurm.md,takedown,1
2020-01-09-Miramar.md,2020,01,09,Miramar.md,takedown,1
2020-01-09-alliance4creativity.md,2020,01,09,alliance4creativity.md,takedown,5
2020-01-09-amazon.md,2020,01,09,amazon.md,takedown,1
2020-01-09-codility-2.md,2020,01,09,codility-2.md,takedown,3
