Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2021-01-04-bmcic.md,2021,01,04,bmcic.md,takedown,1
2021-01-04-zenith-bank.md,2021,01,04,zenith-bank.md,takedown,1
2021-01-05-cs335-counternotice.md,2021,01,05,cs335-counternotice.md,counternotice,1
2021-01-05-ucsd-cs.md,2021,01,05,ucsd-cs.md,takedown,1
2021-01-07-cnnbrasil.md,2021,01,07,cnnbrasil.md,takedown,18
2021-01-07-search-engine.md,2021,01,07,search-engine.md,takedown,1
2021-01-08-wipro-retraction.md,2021,01,08,wipro-retraction.md,retraction,1
2021-01-11-antorient.md,2021,01,11,antorient.md,takedown,2
2021-01-11-awesome-restaurant.md,2021,01,11,awesome-restaurant.md,takedown,1
2021-01-11-crackingthecodinginterview.md,2021,01,11,crackingthecodinginterview.md,takedown,620
2021-01-11-gameaiprogramming.md,2021,01,11,gameaiprogramming.md,takedown,6
2021-01-11-hactivate.md,2021,01,11,hactivate.md,takedown,4
2021-01-11-hpomb.md,2021,01,11,hpomb.md,takedown,1
2021-01-11-insta485test.md,2021,01,11,insta485test.md,takedown,1
2021-01-11-汉王纷争.md,2021,01,11,汉王纷争.md,takedown,1
2021-01-12-bitrix.md,2021,01,12,bitrix.md,takedown,1
2021-01-12-kyoko.md,2021,01,12,kyoko.md,takedown,15
2021-01-12-rfcommunity.md,2021,01,12,rfcommunity.md,takedown,1
2021-01-12-tiktok.md,2021,01,12,tiktok.md,takedown,5
2021-01-13-sharing.md,2021,01,13,sharing.md,takedown,3
2021-01-13-ventasYii.md,2021,01,13,ventasYii.md,takedown,1
2021-01-14-cogs.md,2021,01,14,cogs.md,takedown,2
2021-01-14-coursefarming.md,2021,01,14,coursefarming.md,takedown,1
2021-01-14-fairmint.md,2021,01,14,fairmint.md,takedown,2
2021-01-14-hackreactor-2.md,2021,01,14,hackreactor-2.md,takedown,3
2021-01-14-hackreactor.md,2021,01,14,hackreactor.md,takedown,1
2021-01-14-jetbrains.md,2021,01,14,jetbrains.md,takedown,1
2021-01-14-mpa.md,2021,01,14,mpa.md,takedown,1
2021-01-14-neyrokod.md,2021,01,14,neyrokod.md,takedown,3
2021-01-14-pyimagesearch.md,2021,01,14,pyimagesearch.md,takedown,1
2021-01-14-selfcare.md,2021,01,14,selfcare.md,takedown,1
2021-01-14-siganow.md,2021,01,14,siganow.md,takedown,17
2021-01-14-smartbi-fe.md,2021,01,14,smartbi-fe.md,takedown,3
2021-01-14-superstore-finder.md,2021,01,14,superstore-finder.md,takedown,1
2021-01-14-uhubctl.md,2021,01,14,uhubctl.md,takedown,2
2021-01-15-automotive-ethernet.md,2021,01,15,automotive-ethernet.md,takedown,15
2021-01-15-backend-theme.md,2021,01,15,backend-theme.md,takedown,3
2021-01-15-codility.md,2021,01,15,codility.md,takedown,3
2021-01-15-coursefarming.md,2021,01,15,coursefarming.md,takedown,1
2021-01-15-ece297.md,2021,01,15,ece297.md,takedown,1
2021-01-15-hackreactor.md,2021,01,15,hackreactor.md,takedown,3
2021-01-15-pizza-modifiers.md,2021,01,15,pizza-modifiers.md,takedown,1
2021-01-15-theme-grocery.md,2021,01,15,theme-grocery.md,takedown,2
2021-01-15-yesbank.md,2021,01,15,yesbank.md,takedown,1
2021-01-19-adp.md,2021,01,19,adp.md,takedown,1
